index	char	weight	parent	lchild	rchild
0	a	0.0472441	44	-1	-1
1	b	0	29	-1	-1
2	c	0.015748	37	-1	-1
3	d	0.015748	38	-1	-1
4	e	0.0944882	50	-1	-1
5	f	0.023622	40	-1	-1
6	g	0.00787402	34	-1	-1
7	h	0.0551181	46	-1	-1
8	i	0.0314961	42	-1	-1
9	j	0.00787402	35	-1	-1
10	k	0.00787402	35	-1	-1
11	l	0.015748	38	-1	-1
12	m	0.0708661	48	-1	-1
13	n	0.0472441	44	-1	-1
14	o	0.0787402	49	-1	-1
15	p	0.00787402	36	-1	-1
16	q	0	29	-1	-1
17	r	0.0551181	46	-1	-1
18	s	0.0551181	47	-1	-1
19	t	0.0708661	48	-1	-1
20	u	0.0472441	45	-1	-1
21	v	0	30	-1	-1
22	w	0.015748	39	-1	-1
23	x	0	30	-1	-1
24	y	0.023622	41	-1	-1
25	z	0	31	-1	-1
26	,	0	31	-1	-1
27	.	0.00787402	36	-1	-1
28	 	0.19685	54	-1	-1
29	-	0	32	1	16
30	-	0	32	21	23
31	-	0	33	25	26
32	-	0	33	29	30
33	-	0	34	31	32
34	-	0.00787402	37	33	6
35	-	0.015748	39	9	10
36	-	0.015748	40	15	27
37	-	0.023622	41	34	2
38	-	0.0314961	42	3	11
39	-	0.0314961	43	22	35
40	-	0.0393701	43	36	5
41	-	0.0472441	45	24	37
42	-	0.0629921	47	8	38
43	-	0.0708661	49	39	40
44	-	0.0944882	50	0	13
45	-	0.0944882	51	20	41
46	-	0.110236	51	7	17
47	-	0.11811	52	18	42
48	-	0.141732	52	12	19
49	-	0.149606	53	43	14
50	-	0.188976	53	4	44
51	-	0.204724	54	45	46
52	-	0.259843	55	47	48
53	-	0.338583	55	49	50
54	-	0.401575	56	28	51
55	-	0.598425	56	52	53
56	-	1	0	54	55
